OBJECTID,Reference Name,Lat_DD,Lon_DD
1,Cuarteron Reef (Spratly Islands),8.906122,112.848959
2,Fiery Cross Reef (Spratly Islands),9.895383,115.537995
3,Gaven Reefs (Spratly Islands),10.21018,114.225657
4,Hughes Reef (Spratly Islands),9.911678,114.500489
5,Johnson Reef (Spratly Islands),9.70028,114.249993
6,Mischief Reef (Spratly Islands),9.850423,115.533312
7,Subi Reef (Spratly Islands),10.923102,114.089005
8,Antelope Reef (Paracel Islands),16.458692,111.585264
9,Bombay Reef (Parcel Islands),16.035475,112.533505
10,Drummond Island (Parcel Islands),16.467119,111.73329
11,Duncan Islands (Parcel Islands),17.134623,111.746026
12,Lincoln Island (Parcel Islands),17.676538,112.741667
13,Middle Island (Parcel Islands),16.982932,112.323343
14,Money Island (Parcel Islands),16.450555,111.5
15,North Island (Parcel Islands),16.967118,112.300021
16,North Reef (Parcel Islands),17.100389,111.500043
17,Observation Bank (Parcel Islands),16.583909,111.699893
18,Pattle Island (Parcel Islands),16.551797,111.612597
19,Quanfu Island (Parcel Islands),16.568583,111.66403
20,Robert Island (Parcel Islands),16.504123,111.589876
21,South Sand (Parcel Islands),16.959828,112.331012
22,Tree Island (Parcel Islands),16.983805,112.26686
23,Triton Island (Parcel Islands),15.811909,111.211596
24,West Sand (Parcel Islands),16.966831,112.200021
25,Woody Island (Parcel Islands),16.837029,112.336909
26,Yagong Island (Parcel Islands),16.568696,111.673152
27,Scarborough Shoal (Other),15.224653,117.741335
28,Ardasier Reef (Spratly Islands),7.706137,114.249669
29,Erica Reef (Spratly Islands),8.106797,114.132822
30,Investigator Shoal (Spratly Islands),8.150403,114.733505
31,Mariveles Reef (Spratly Islands),7.983388,113.929126
32,Swallow Reef (Spratly Islands),7.373071,113.828171
33,Commodore Reef (Spratly Islands),8.350859,115.241764
34,Flat Island (Spratly Islands),10.816717,115.825412
35,Loaita Island (Spratly Islands),10.767952,114.434381
36,Northeast Cay (Spratly Islands),11.453529,114.356337
37,Second Thomas Shoal (Spratly Islands),9.718772,115.887697
38,Thitu Island (Spratly Islands),11.054042,114.284978
39,West York Island (Spratly Islands),11.081843,115.002168
40,Itu Aba Island (Spratly Islands),10.377308,114.365439
41,Alison Reef (Spratly Islands),8.822958,113.972001
42,Amboyna Cay (Spratly Islands),7.892368,112.921223
43,Barque Canada Reef (Spratly Islands),8.208707,113.349042
44,Central Reef (Spratly Islands),8.994842,112.389983
45,Collins Reef (Spratly Islands),9.768134,114.261181
46,Discovery Great Reef (Spratly Islands),10.038402,113.856053
47,Grierson Reef (Spratly Islands),9.879351,114.554731
48,Ladd Reef (Spratly Islands),8.652315,111.681682
49,Lansdowne Reef (Spratly Islands),9.750272,114.351462
50,Namyit Island (Spratly Islands),10.179757,114.366549
51,Pearson Reef (Spratly Islands),8.996275,113.694498
52,Petley Reef (Spratly Islands),10.41174,114.577584
53,Sin Cowe Island (Spratly Islands),9.885531,114.330176
54,Southwest Cay (Spratly Islands),11.429436,114.331971
